order_id,order_date,channel_code,channel_name,line_no,sku,product_name,category,gender,season,list_price,unit_price,discount_rate,qty,amount,commission_rate
JPN-260401-0001,2026-04-01,JPN,해외(일본),1,AMCR-SS-OT-601,경량 윈드 자켓 / 화이트,아우터,여성,SS25,398000,378100,0.05,2,756200,0.22
JPN-260401-0001,2026-04-01,JPN,해외(일본),2,AMCR-SS-OT-601,경량 윈드 자켓 / 화이트,아우터,여성,SS25,398000,398000,0,1,398000,0.22
DTC-260401-0001,2026-04-01,DTC,자사몰,1,AMCR-SS-AC-801,선바이저 / 화이트,잡화,유니,SS25,68000,68000,0,1,68000,0.0
JPN-260401-0002,2026-04-01,JPN,해외(일본),1,AMCR-SS-TS-302,메쉬 카라 반팔 티 / 라일락,상의,여성,SS25,198000,188100,0.05,1,188100,0.22
GLPS-260401-0001,2026-04-01,GLPS,골프장 프로샵,1,AMCR-SS-PT-202,스트레치 5포켓 팬츠 / 네이비,팬츠,남성,SS25,328000,295200,0.1,1,295200,0.25
GLPS-260401-0001,2026-04-01,GLPS,골프장 프로샵,2,AMCR-SS-OT-601,경량 윈드 자켓 / 화이트,아우터,여성,SS25,398000,358200,0.1,1,358200,0.25
DTC-260401-0002,2026-04-01,DTC,자사몰,1,AMCR-CR-TS-902,베이직 카라 티 / 화이트,상의,여성,CARRY,178000,151300,0.15,1,151300,0.0
DTC-260401-0002,2026-04-01,DTC,자사몰,2,AMCR-SS-OT-601,경량 윈드 자켓 / 화이트,아우터,여성,SS25,398000,398000,0,1,398000,0.0
SHIN-260401-0001,2026-04-01,SHIN,신세계백화점,1,AMCR-SS-TS-302,메쉬 카라 반팔 티 / 라일락,상의,여성,SS25,198000,198000,0,1,198000,0.32
SHIN-260401-0002,2026-04-01,SHIN,신세계백화점,1,AMCR-SS-TS-301,메쉬 카라 반팔 티 / 화이트,상의,여성,SS25,198000,188100,0.05,1,188100,0.32
SHIN-260401-0002,2026-04-01,SHIN,신세계백화점,2,AMCR-SS-DR-1001,원피스 골프 드레스 / 화이트,원피스,여성,SS25,348000,348000,0,1,348000,0.32
USA-260401-0001,2026-04-01,USA,해외(미국),1,AMCR-SS-TS-401,쿨링 카라 반팔 티 / 차콜,상의,남성,SS25,218000,207100,0.05,1,207100,0.2
SHIN-260401-0003,2026-04-01,SHIN,신세계백화점,1,AMCR-SS-TS-302,메쉬 카라 반팔 티 / 라일락,상의,여성,SS25,198000,178200,0.1,2,356400,0.32
JPN-260401-0003,2026-04-01,JPN,해외(일본),1,AMCR-SS-AC-802,골프 글러브 / 블랙,잡화,유니,SS25,88000,83600,0.05,1,83600,0.22
DTC-260401-0003,2026-04-01,DTC,자사몰,1,AMCR-SS-AC-801,선바이저 / 화이트,잡화,유니,SS25,68000,57800,0.15,1,57800,0.0
DTC-260401-0003,2026-04-01,DTC,자사몰,2,AMCR-SS-TS-302,메쉬 카라 반팔 티 / 라일락,상의,여성,SS25,198000,198000,0,1,198000,0.0
LOTW-260401-0001,2026-04-01,LOTW,롯데백화점,1,AMCR-SS-TS-401,쿨링 카라 반팔 티 / 차콜,상의,남성,SS25,218000,207100,0.05,1,207100,0.32
HYUN-260401-0001,2026-04-01,HYUN,현대백화점,1,AMCR-SS-TS-401,쿨링 카라 반팔 티 / 차콜,상의,남성,SS25,218000,218000,0,1,218000,0.3
HYUN-260401-0001,2026-04-01,HYUN,현대백화점,2,AMCR-SS-SK-501,플리츠 골프 스커트 / 화이트,스커트,여성,SS25,248000,235600,0.05,1,235600,0.3
DTC-260401-0004,2026-04-01,DTC,자사몰,1,AMCR-SS-AC-802,골프 글러브 / 블랙,잡화,유니,SS25,88000,88000,0,1,88000,0.0
DTC-260401-0004,2026-04-01,DTC,자사몰,2,AMCR-SS-DR-1001,원피스 골프 드레스 / 화이트,원피스,여성,SS25,348000,295800,0.15,1,295800,0.0
DTC-260401-0004,2026-04-01,DTC,자사몰,3,AMCR-SS-PT-102,테크니컬 슬림 팬츠 / 블랙,팬츠,여성,SS25,298000,268200,0.1,1,268200,0.0
DTC-260401-0005,2026-04-01,DTC,자사몰,1,AMCR-SS-TS-401,쿨링 카라 반팔 티 / 차콜,상의,남성,SS25,218000,185300,0.15,1,185300,0.0
HYUN-260401-0002,2026-04-01,HYUN,현대백화점,1,AMCR-SS-OT-601,경량 윈드 자켓 / 화이트,아우터,여성,SS25,398000,378100,0.05,1,378100,0.3
HYUN-260401-0002,2026-04-01,HYUN,현대백화점,2,AMCR-SS-TS-301,메쉬 카라 반팔 티 / 화이트,상의,여성,SS25,198000,198000,0,1,198000,0.3
SHIN-260401-0004,2026-04-01,SHIN,신세계백화점,1,AMCR-SS-PT-102,테크니컬 슬림 팬츠 / 블랙,팬츠,여성,SS25,298000,298000,0,1,298000,0.32
SHIN-260401-0005,2026-04-01,SHIN,신세계백화점,1,AMCR-SS-AC-802,골프 글러브 / 블랙,잡화,유니,SS25,88000,79200,0.1,1,79200,0.32
DTC-260401-0006,2026-04-01,DTC,자사몰,1,AMCR-SS-PT-201,스트레치 5포켓 팬츠 / 베이지,팬츠,남성,SS25,328000,295200,0.1,2,590400,0.0
SHIN-260401-0006,2026-04-01,SHIN,신세계백화점,1,AMCR-SS-OT-701,경량 윈드 자켓 / 블랙,아우터,남성,SS25,428000,406600,0.05,1,406600,0.32
