order_batch_id,date,store_id,brand,store_name,channel,trade_area,menu_category,guests,avg_unit_krw,gross_sales_krw,channel_fee_krw,food_cost_krw
OF-260101-0001,2026-01-01,CH-001,Chai797,여의도IFC점,오피스상권,여의도,딤섬,32,12600,403200,0,120960
OF-260101-0001,2026-01-01,CH-001,Chai797,여의도IFC점,오피스상권,여의도,요리,37,57500,2127500,0,765900
OF-260101-0001,2026-01-01,CH-001,Chai797,여의도IFC점,오피스상권,여의도,면·밥,49,18000,882000,0,246960
OF-260101-0001,2026-01-01,CH-001,Chai797,여의도IFC점,오피스상권,여의도,코스,34,45200,1536800,0,522512
OF-260102-0002,2026-01-02,CH-001,Chai797,여의도IFC점,오피스상권,여의도,딤섬,32,13300,425600,0,127680
OF-260102-0002,2026-01-02,CH-001,Chai797,여의도IFC점,오피스상권,여의도,요리,28,50300,1408400,0,507024
OF-260102-0002,2026-01-02,CH-001,Chai797,여의도IFC점,오피스상권,여의도,면·밥,42,16600,697200,0,195216
OF-260102-0002,2026-01-02,CH-001,Chai797,여의도IFC점,오피스상권,여의도,코스,32,47100,1507200,0,512448
OF-260103-0003,2026-01-03,CH-001,Chai797,여의도IFC점,오피스상권,여의도,딤섬,12,14300,171600,0,51480
OF-260103-0003,2026-01-03,CH-001,Chai797,여의도IFC점,오피스상권,여의도,요리,20,52200,1044000,0,375840
OF-260103-0003,2026-01-03,CH-001,Chai797,여의도IFC점,오피스상권,여의도,면·밥,14,18200,254800,0,71344
OF-260103-0003,2026-01-03,CH-001,Chai797,여의도IFC점,오피스상권,여의도,코스,16,41500,664000,0,225760
OF-260104-0004,2026-01-04,CH-001,Chai797,여의도IFC점,오피스상권,여의도,딤섬,26,13700,356200,0,106860
OF-260104-0004,2026-01-04,CH-001,Chai797,여의도IFC점,오피스상권,여의도,요리,25,57400,1435000,0,516600
OF-260104-0004,2026-01-04,CH-001,Chai797,여의도IFC점,오피스상권,여의도,면·밥,22,18300,402600,0,112728
OF-260104-0004,2026-01-04,CH-001,Chai797,여의도IFC점,오피스상권,여의도,코스,20,46700,934000,0,317560
OF-260105-0005,2026-01-05,CH-001,Chai797,여의도IFC점,오피스상권,여의도,딤섬,71,14500,1029500,0,308850
OF-260105-0005,2026-01-05,CH-001,Chai797,여의도IFC점,오피스상권,여의도,요리,70,57000,3990000,0,1436400
OF-260105-0005,2026-01-05,CH-001,Chai797,여의도IFC점,오피스상권,여의도,면·밥,49,15300,749700,0,209916
OF-260105-0005,2026-01-05,CH-001,Chai797,여의도IFC점,오피스상권,여의도,코스,58,41400,2401200,0,816408
OF-260106-0006,2026-01-06,CH-001,Chai797,여의도IFC점,오피스상권,여의도,딤섬,44,12600,554400,0,166320
OF-260106-0006,2026-01-06,CH-001,Chai797,여의도IFC점,오피스상권,여의도,요리,63,52500,3307500,0,1190700
OF-260106-0006,2026-01-06,CH-001,Chai797,여의도IFC점,오피스상권,여의도,면·밥,53,15200,805600,0,225568
OF-260106-0006,2026-01-06,CH-001,Chai797,여의도IFC점,오피스상권,여의도,코스,50,51000,2550000,0,867000
OF-260107-0007,2026-01-07,CH-001,Chai797,여의도IFC점,오피스상권,여의도,딤섬,68,12300,836400,0,250920
OF-260107-0007,2026-01-07,CH-001,Chai797,여의도IFC점,오피스상권,여의도,요리,73,49900,3642700,0,1311372
OF-260107-0007,2026-01-07,CH-001,Chai797,여의도IFC점,오피스상권,여의도,면·밥,60,18400,1104000,0,309120
OF-260107-0007,2026-01-07,CH-001,Chai797,여의도IFC점,오피스상권,여의도,코스,70,46800,3276000,0,1113840
OF-260108-0008,2026-01-08,CH-001,Chai797,여의도IFC점,오피스상권,여의도,딤섬,78,14200,1107600,0,332280
OF-260108-0008,2026-01-08,CH-001,Chai797,여의도IFC점,오피스상권,여의도,요리,54,48100,2597400,0,935064
OF-260108-0008,2026-01-08,CH-001,Chai797,여의도IFC점,오피스상권,여의도,면·밥,58,15500,899000,0,251720
OF-260108-0008,2026-01-08,CH-001,Chai797,여의도IFC점,오피스상권,여의도,코스,54,51100,2759400,0,938196
OF-260109-0009,2026-01-09,CH-001,Chai797,여의도IFC점,오피스상권,여의도,딤섬,60,13800,828000,0,248400
OF-260109-0009,2026-01-09,CH-001,Chai797,여의도IFC점,오피스상권,여의도,요리,63,59800,3767400,0,1356264
OF-260109-0009,2026-01-09,CH-001,Chai797,여의도IFC점,오피스상권,여의도,면·밥,66,15500,1023000,0,286440
OF-260109-0009,2026-01-09,CH-001,Chai797,여의도IFC점,오피스상권,여의도,코스,57,46800,2667600,0,906984
OF-260110-0010,2026-01-10,CH-001,Chai797,여의도IFC점,오피스상권,여의도,딤섬,23,14600,335800,0,100740
OF-260110-0010,2026-01-10,CH-001,Chai797,여의도IFC점,오피스상권,여의도,요리,21,50600,1062600,0,382536
OF-260110-0010,2026-01-10,CH-001,Chai797,여의도IFC점,오피스상권,여의도,면·밥,29,16400,475600,0,133168
OF-260110-0010,2026-01-10,CH-001,Chai797,여의도IFC점,오피스상권,여의도,코스,17,41000,697000,0,236980
OF-260111-0011,2026-01-11,CH-001,Chai797,여의도IFC점,오피스상권,여의도,딤섬,23,14300,328900,0,98670
