일자,사업부,카테고리,배송유형,거래액,순매출,주문건수
2026-01-01,그로서리,신선식품,새벽배송,103660000,101590000,2705
2026-01-01,그로서리,신선식품,쓱배송,116570000,114240000,2853
2026-01-01,그로서리,가공식품,새벽배송,71290000,70220000,1788
2026-01-01,그로서리,가공식품,쓱배송,80810000,79600000,1956
2026-01-01,그로서리,생수·음료,새벽배송,42110000,41690000,1550
2026-01-01,그로서리,생수·음료,쓱배송,51380000,50870000,1829
2026-01-01,그로서리,델리·베이커리,새벽배송,19680000,19190000,799
2026-01-01,그로서리,델리·베이커리,쓱배송,22970000,22400000,929
2026-01-01,브랜드패션,명품·부티크,택배배송,159220000,28660000,195
2026-01-01,브랜드패션,패션의류,택배배송,100530000,22120000,970
2026-01-01,브랜드패션,뷰티,택배배송,89640000,17930000,1552
2026-01-01,브랜드패션,스포츠·아웃도어,택배배송,55070000,11560000,576
2026-01-01,라이프스타일,가전·디지털,택배배송,170720000,11950000,514
2026-01-01,라이프스타일,리빙·주방,택배배송,80310000,9640000,1087
2026-01-01,라이프스타일,유아동,택배배송,52800000,6860000,995
2026-01-01,라이프스타일,반려동물,택배배송,34410000,4470000,730
2026-01-02,그로서리,신선식품,새벽배송,103170000,101110000,2684
2026-01-02,그로서리,신선식품,쓱배송,116850000,114510000,2992
2026-01-02,그로서리,가공식품,새벽배송,77150000,75990000,2216
2026-01-02,그로서리,가공식품,쓱배송,84790000,83520000,2366
2026-01-02,그로서리,생수·음료,새벽배송,42030000,41610000,1477
2026-01-02,그로서리,생수·음료,쓱배송,51740000,51220000,1950
2026-01-02,그로서리,델리·베이커리,새벽배송,20780000,20260000,799
2026-01-02,그로서리,델리·베이커리,쓱배송,25080000,24450000,961
2026-01-02,브랜드패션,명품·부티크,택배배송,167930000,30230000,219
2026-01-02,브랜드패션,패션의류,택배배송,111360000,24500000,1283
2026-01-02,브랜드패션,뷰티,택배배송,102180000,20440000,1688
2026-01-02,브랜드패션,스포츠·아웃도어,택배배송,60360000,12680000,760
2026-01-02,라이프스타일,가전·디지털,택배배송,172120000,12050000,477
2026-01-02,라이프스타일,리빙·주방,택배배송,93050000,11170000,1369
2026-01-02,라이프스타일,유아동,택배배송,53220000,6920000,1056
2026-01-02,라이프스타일,반려동물,택배배송,33540000,4360000,696
2026-01-03,그로서리,신선식품,새벽배송,114980000,112680000,2666
2026-01-03,그로서리,신선식품,쓱배송,127810000,125250000,2993
2026-01-03,그로서리,가공식품,새벽배송,81220000,80000000,2367
2026-01-03,그로서리,가공식품,쓱배송,94760000,93340000,2744
2026-01-03,그로서리,생수·음료,새벽배송,42490000,42070000,1550
2026-01-03,그로서리,생수·음료,쓱배송,54680000,54130000,2158
2026-01-03,그로서리,델리·베이커리,새벽배송,21500000,20960000,989
2026-01-03,그로서리,델리·베이커리,쓱배송,26950000,26280000,1134
2026-01-03,브랜드패션,명품·부티크,택배배송,167970000,30230000,233
2026-01-03,브랜드패션,패션의류,택배배송,108360000,23840000,1053
2026-01-03,브랜드패션,뷰티,택배배송,99080000,19820000,1487
2026-01-03,브랜드패션,스포츠·아웃도어,택배배송,67470000,14170000,850
2026-01-03,라이프스타일,가전·디지털,택배배송,189230000,13250000,528
2026-01-03,라이프스타일,리빙·주방,택배배송,85390000,10250000,1131
2026-01-03,라이프스타일,유아동,택배배송,60770000,7900000,1024
2026-01-03,라이프스타일,반려동물,택배배송,38080000,4950000,808
2026-01-04,그로서리,신선식품,새벽배송,111480000,109250000,2505
2026-01-04,그로서리,신선식품,쓱배송,134960000,132260000,3448
2026-01-04,그로서리,가공식품,새벽배송,85910000,84620000,2271
2026-01-04,그로서리,가공식품,쓱배송,104630000,103060000,3050
