order_id,주문일,채널,sku,제품명,색상,수량,판매단가,판매금액,주문상태,배송지역,기획전
29C-260501-001,2026-05-01,29CM,HDL-PCH-002,HANDLE POUCH 002,Graphite,1,25000,25000,배송완료,서울,
29C-260501-002,2026-05-01,29CM,TOTE-001-WL,TOTE BRIEF 001 WIDE L,Stone Grey,1,159000,159000,교환,대전,
29C-260501-003,2026-05-01,29CM,TOTE-001-XS,TOTE BRIEF 001 XS,Summer Grey,1,59000,59000,배송완료,대전,
29C-260501-004,2026-05-01,29CM,CITY-LC-001,CITY BOYS LAPTOP CASE,Forest Green,1,62000,62000,배송완료,서울,
29C-260501-004,2026-05-01,29CM,TOTE-001-XS,TOTE BRIEF 001 XS,Grape Grey,1,59000,59000,배송완료,서울,
29C-260501-005,2026-05-01,29CM,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Midnight Black,1,59000,59000,배송완료,인천,
29C-260501-005,2026-05-01,29CM,TOTE-001-WL,TOTE BRIEF 001 WIDE L,Summer Grey,1,159000,159000,배송완료,인천,
DTY-260501-001,2026-05-01,면세점,HDL-PCH-001,HANDLE POUCH 001,Sand,1,19500,19500,배송완료,대전,
DTY-260501-002,2026-05-01,면세점,HDL-PCH-001,HANDLE POUCH 001,Stone Grey,1,19500,19500,배송완료,경기,
DTY-260501-003,2026-05-01,면세점,TOTE-001-XS,TOTE BRIEF 001 XS,Sand,1,46000,46000,배송완료,인천,
DTY-260501-003,2026-05-01,면세점,TOTE-001-WL,TOTE BRIEF 001 WIDE L,Stone Grey,1,124000,124000,배송완료,인천,
MUS-260501-001,2026-05-01,무신사,TOTE-001-WL,TOTE BRIEF 001 WIDE L,Midnight Black,1,159000,159000,배송완료,부산,
MUS-260501-002,2026-05-01,무신사,VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Stone Grey,1,59000,59000,배송완료,경기,
MUS-260501-002,2026-05-01,무신사,VOY-DP-003,VOYAGER DAYPACK 003,Summer Grey,1,119000,119000,배송완료,경기,
MUS-260501-003,2026-05-01,무신사,TOTE-001-WL,TOTE BRIEF 001 WIDE L,Sand,2,159000,318000,배송완료,경기,
MUS-260501-003,2026-05-01,무신사,VOY-DP-003,VOYAGER DAYPACK 003,Midnight Black,1,119000,119000,배송완료,경기,
MUS-260501-004,2026-05-01,무신사,BOAT-TT-M,BOAT TOTE BAG M,Sand,2,89000,178000,배송완료,대구,
MUS-260501-004,2026-05-01,무신사,SHD-BAG-M,SHOULDER BAG M,Forest Green,1,109000,109000,배송완료,대구,
MUS-260501-005,2026-05-01,무신사,CITY-LC-001,CITY BOYS LAPTOP CASE,Sand,1,62000,62000,배송완료,인천,
MUS-260501-006,2026-05-01,무신사,SHD-BAG-M,SHOULDER BAG M,Stone Grey,1,109000,109000,결제완료,광주,
OWN-260501-001,2026-05-01,자사몰,TOTE-001-WL,TOTE BRIEF 001 WIDE L,Grape Grey,1,151050,151050,배송완료,대구,
OWN-260501-002,2026-05-01,자사몰,TOTE-001-WL,TOTE BRIEF 001 WIDE L,Cloud Cream,1,151050,151050,배송완료,대전,
OWN-260501-003,2026-05-01,자사몰,VOY-DP-003,VOYAGER DAYPACK 003,Stone Grey,2,101150,202300,배송완료,대전,
